회사명,주식,혼합주식,혼합채권,채권,투자계약,재간접,단기금융,파생형,부동산,실물,특별자산,혼합자산,기업성장,기관전용 사모펀드,투자일임기타,합계,위탁운용,전일대비,전년대비
볼트자산운용,1,0,0,0,0,0,0,0,1,0,8,4,0,0,0,14,0,0,2
브라이트자산운용,0,14,1,0,0,0,0,0,0,0,0,8,0,0,0,23,0,0,12
브라이튼자산운용,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,1
브레인자산운용,0,3,0,0,0,0,0,0,0,0,0,22,0,1,1,27,0,0,-1
브로드하이자산운용,1,0,2,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,-1
브룩필드자산운용코리아,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11,0,0,7
브이아이자산운용,75,5,18,92,0,21,4,12,23,0,15,13,0,0,0,278,0,0,5
브이아이피자산운용,605,3,3,0,0,0,0,0,0,0,0,9,0,0,0,620,0,0,-147
브이앤에스자산운용,67,1,0,0,0,0,0,1,0,0,0,4,0,0,0,73,0,0,4
브이엠자산운용,0,0,10,0,0,0,0,0,0,0,0,7,0,0,0,17,0,0,-2
브이자산운용,119,7,6,1,0,5,4,4,1,0,4,4,0,0,0,155,0,0,98
블래쉬자산운용,1,5,1,0,0,0,0,0,0,0,0,11,0,0,0,18,0,0,5
블랙록자산운용,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
블랙보드자산운용,2,0,0,0,0,1,0,3,2,0,0,4,0,1,0,13,0,0,5
블랙펄자산운용,34,0,0,0,0,1,0,0,0,0,0,7,0,0,0,42,0,0,2
블루코브자산운용,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,13,0,0,7
블리츠자산운용,1,0,2,0,0,0,0,0,3,0,0,8,0,0,23,37,0,0,5
비앤아이자산운용,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,1
비엔비자산운용,0,12,0,0,0,0,0,0,0,0,0,9,0,0,0,21,0,0,3
비엔케이자산운용,52,5,10,32,0,10,2,3,11,0,0,5,0,0,7,137,0,0,12
